SourceID,RAdeg,DEdeg,HJD,mag,e_mag,flag,band
1,0.0005612,62.1016301,58298.44567,16.555,0.015,0,r
1,0.0005612,62.1016301,58293.47116,16.576,0.015,0,r
1,0.0005612,62.1016301,58345.38920,16.616,0.015,0,r
1,0.0005612,62.1016301,58464.26493,16.564,0.015,0,r
1,0.0005612,62.1016301,58663.43368,16.570,0.015,0,r
1,0.0005612,62.1016301,58301.45113,16.553,0.015,0,r
1,0.0005612,62.1016301,58349.32626,16.611,0.015,0,r
1,0.0005612,62.1016301,58355.33797,16.601,0.015,0,r
1,0.0005612,62.1016301,58296.36355,16.602,0.015,0,r
1,0.0005612,62.1016301,58351.38279,16.602,0.015,0,r
1,0.0005612,62.1016301,58356.40178,16.600,0.015,0,r
1,0.0005612,62.1016301,58304.39987,16.614,0.015,0,r
1,0.0005612,62.1016301,58342.34679,16.526,0.014,0,r
1,0.0005612,62.1016301,58353.47192,16.554,0.015,0,r
1,0.0005612,62.1016301,58638.47138,16.592,0.015,0,r
1,0.0005612,62.1016301,58354.31999,16.560,0.015,0,r
1,0.0005612,62.1016301,58305.42552,16.553,0.015,0,r
1,0.0005612,62.1016301,58303.47663,16.553,0.015,0,r
1,0.0005612,62.1016301,58302.40512,16.589,0.015,0,r
1,0.0005612,62.1016301,58483.10551,16.612,0.015,0,r
1,0.0005612,62.1016301,58457.17439,16.519,0.014,0,r
1,0.0005612,62.1016301,58471.14011,16.530,0.014,0,r
1,0.0005612,62.1016301,58472.11634,16.584,0.015,0,r
1,0.0005612,62.1016301,58355.46956,16.610,0.015,0,r
1,0.0005612,62.1016301,58294.47076,16.588,0.015,0,r
1,0.0005612,62.1016301,58365.34607,16.545,0.015,0,r
1,0.0005612,62.1016301,58468.26974,16.584,0.015,0,r
1,0.0005612,62.1016301,58287.47077,16.591,0.015,0,r
1,0.0005612,62.1016301,58278.46886,16.569,0.015,0,r
1,0.0005612,62.1016301,58277.42965,16.599,0.015,0,r
1,0.0005612,62.1016301,58289.47559,16.583,0.015,0,r
1,0.0005612,62.1016301,58283.38533,16.601,0.015,0,r
1,0.0005612,62.1016301,58291.47008,16.562,0.015,0,r
1,0.0005612,62.1016301,58286.47410,16.573,0.015,0,r
1,0.0005612,62.1016301,58290.47452,16.592,0.015,0,r
1,0.0005612,62.1016301,58282.46733,16.537,0.014,0,r
1,0.0005612,62.1016301,58276.44666,16.545,0.015,0,r
1,0.0005612,62.1016301,58475.16161,16.563,0.015,0,r
1,0.0005612,62.1016301,58285.40575,16.624,0.015,0,r
1,0.0005612,62.1016301,58383.30725,16.547,0.015,0,r
1,0.0005612,62.1016301,58639.41114,16.544,0.015,0,r
1,0.0005612,62.1016301,58643.46694,16.545,0.015,0,r
1,0.0005612,62.1016301,58644.47166,16.574,0.015,0,r
1,0.0005612,62.1016301,58337.34422,16.574,0.015,0,r
1,0.0005612,62.1016301,58270.42466,16.531,0.014,0,r
1,0.0005612,62.1016301,58490.15256,16.551,0.015,0,r
1,0.0005612,62.1016301,58292.47001,16.586,0.015,0,r
1,0.0005612,62.1016301,58456.18093,16.638,0.015,0,r
1,0.0005612,62.1016301,58474.14024,16.533,0.014,0,r
1,0.0005612,62.1016301,58328.40315,16.564,0.015,0,r
1,0.0005612,62.1016301,58442.26632,16.612,0.015,0,r
1,0.0005612,62.1016301,58437.26144,16.552,0.015,0,r
1,0.0005612,62.1016301,58441.28586,16.544,0.015,0,r
1,0.0005612,62.1016301,58280.36883,16.572,0.015,0,r
1,0.0005612,62.1016301,58279.40635,16.615,0.015,0,r
    
